National Provider Identifier,Organization Name,Credentials,Gender,Entity Code,City,Zip Code,State Code,Country Code,Provider Type,Medicare Participation,Place of Service,HCPCS Code,HCPCS Description,HCPCS Drug Indicator,Number of Services,Number of Medicare Beneficiaries,Number of Medicare Beneficiary/Day Services,Average Medicare Allowed Amount,Standard Deviation of Medicare Allowed Amount,Average Submitted Charge Amount,Standard Deviation of Submitted Charge Amount,Average Medicare Payment Amount
1285628651,YOUNG,MD,M,I,HOT SPRINGS,719136999,AR,US,Orthopedic Surgery,Y,O,73560,"X-ray of knee, 1 or 2 views",N,185,150,167,30.73,9.66,50.16,12.16,22.12
1023068772,TAMAREN,MD,F,I,CARLISLE,403111150,KY,US,General Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,79,55,79,3,0,20,0,3
1619011756,OBLINGER,P.T.,F,I,CINCINNATI,45247,OH,US,Physical Therapist,Y,O,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",N,939,55,449,27.45,1.35,64.93,2.17,20.97
1225290463,CHANDIWALA-MODY,D.O.,F,I,BAYONNE,70024654,NJ,US,Pediatric Medicine,Y,F,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,198,198,198,37.54,0.25,356.85,75.4,37.54
1649285792,WALGREEN EASTERN CO INC,O,O,O,KENMORE,142171122,NY,US,Mass Immunization Roster Biller,Y,O,90662,Vaccine for influenza injection,Y,62,62,62,29.59,0,29.59,0,29.59
1366498586,WEAVER,MD,M,I,BLUE ASH,452426251,OH,US,Diagnostic Radiology,Y,F,71020,"X-ray of chest, 2 views, front and side",N,578,553,578,10.43,0,45,0,7.89
1336199538,KACZOR,MD,F,I,ELMHURST,601265626,IL,US,Otolaryngology,Y,F,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,147,130,147,80.68,0,120.14,1.82,55.91
1609924356,SEUFFERT,NP,F,I,SALEM,1970,MA,US,Nurse Practitioner,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,25,25,25,12.15,0.34,20.84,0.37,12.15
1598723629,LUCAS,MD,M,I,ALTOONA,16601,PA,US,Pulmonary Disease,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,28,27,28,191.88,0,250,0,153.5
1336184126,BAYYAPUREDDY,MD,F,I,CUMMING,300417002,GA,US,Internal Medicine,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,261,106,261,70.22,0,95,0,50.54
1568595874,ROSE,O,M,I,LEXINGTON,405031404,KY,US,Infectious Disease,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,"1,435",365,"1,435",66.56,0,115,0,52.22
1740359082,WOLANSKI,MD,M,I,JACKSONVILLE,285466379,NC,US,Pulmonary Disease,Y,F,99222,"Initial hospital inpatient care, typically 50 minutes per day",N,88,78,88,122.35,0,122.35,0,97.88
1982622908,HUMPHREY,MD,M,I,MOUNT STERLING,403531357,KY,US,Family Practice,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,135,21,135,66.56,0,75,0,53.25
1093799728,VIA,CRNA,F,I,WILMINGTON,19805,DE,US,CRNA,Y,F,142,Anesthesia for lens surgery,N,57,46,57,80.26,8.27,326.44,33.65,64.21
1982691432,SANTHANAM,MD,M,I,LAWRENCEVILLE,8648,NJ,US,Family Practice,Y,O,G0008,Administration of influenza virus vaccine,N,70,63,70,26.58,0,30,0,26.58
1104805712,GUDI,MD,M,I,BROOKLYN,112153689,NY,US,Critical Care (Intensivists),Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,115,66,115,55.39,0,150.43,4.64,43.98
1699739078,ANAYA,MD,M,I,NEW YORK,10038,NY,US,Internal Medicine,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,16,16,16,111.8,0,375,0,89.44
1659536852,BAJWA,MD,M,I,SPRINGFIELD,627810001,IL,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,15,14,15,3.62,0,21,0,3.62
1487654075,SMITH BALL,D.O.,F,I,DELRAN,80751869,NJ,US,Family Practice,Y,O,81002,"Urinalysis, manual test",N,29,22,29,3.62,0,20,0,3.62
1205945797,K & B LOUISIANA CORPORATION,O,O,O,BATON ROUGE,708147001,LA,US,Mass Immunization Roster Biller,Y,O,90662,Vaccine for influenza injection,Y,53,53,53,30.92,0,30.92,0,30.92
1750347233,LUNDBERG,MD,M,I,CINCINNATI,45249,OH,US,Internal Medicine,Y,O,G0008,Administration of influenza virus vaccine,N,53,53,53,22.93,0,49,0,22.93
1215097852,JUDAH,MD,M,I,MACON,312012025,GA,US,Gastroenterology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,81,68,81,97.85,0,125,0,66.18
1003993528,TWEEL,MD,M,I,COLUMBUS,432201817,OH,US,Family Practice,Y,O,36415,Insertion of needle into vein for collection of blood sample,N,332,127,332,3,0,12,0,3
1134230857,SRIRAMAN,MD,M,I,GOLDSBORO,275342240,NC,US,Psychiatry,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,134,16,134,22.47,0.53,35.38,6.25,15.4
1952314197,OTERO,MD,M,I,CHICAGO,606222789,IL,US,Urology,Y,F,99202,"New patient office or other outpatient visit, typically 20 minutes",N,33,33,33,52.76,0,200,0,40.93
1679521132,WETTERHAHN,MD,M,I,WATERTOWN,136019367,NY,US,Family Practice,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,26,26,26,8.13,0,54.24,0,6.25
1801861257,BHATTACHARYA,MD,M,I,YONKERS,107011318,NY,US,Obstetrics/Gynecology,Y,O,G0101,Cervical or vaginal cancer screening; pelvic and clinical breast examination,N,33,33,33,43.12,0,150,0,43.12
1629256110,JOHNSON,MD,M,I,DUBLIN,310212969,GA,US,Family Practice,Y,O,96372,"Injection into tissue or muscle for therapy, diagnosis, or prevention",N,212,83,212,22.3,0,30,0,15.4
1528026960,HESSE,MD,M,I,WICHITA,672062360,KS,US,Family Practice,Y,O,90732,"Vaccine for pneumococcal polysaccharide for injection into muscle, patient 2 years or older",Y,15,15,15,63.48,3.79,70,0,59.52
1588639207,GONZALEZ,MD,F,I,ANOKA,553032432,MN,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,185,108,185,69.17,0,177,0,46.95
1326081266,LODISH,D.O.,M,I,SOUTHFIELD,480756501,MI,US,Geriatric Medicine,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,38,30,30,173.12,60.74,446.05,24.01,138.49
1649215674,PORTILLA,O,M,I,DULUTH,558051951,MN,US,Otolaryngology,Y,O,99202,"New patient office or other outpatient visit, typically 20 minutes",N,34,34,34,73.06,0,108.03,2.02,53.28
1003866104,CRIST,D.O.,M,I,GALENA,610361358,IL,US,Family Practice,Y,O,G0009,Administration of pneumococcal vaccine,N,23,23,23,22.64,0,24,0,22.64
1750374617,HOWARD,O.D.,F,I,BLOOMINGTON,474015314,IN,US,Optometry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,148,94,148,66.84,0,70,0,48.12
1912940891,BUSH,MD,M,I,AMARILLO,791061729,TX,US,Internal Medicine,Y,F,99239,"Hospital discharge day management, more than 30 minutes",N,76,74,76,99.36,0,150,0,78.44
1700862711,AZULAY,MD,M,I,PEMBROKE PINES,330246600,FL,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,"2,061",230,"2,061",73.46,0,100,0,58.72
1568654663,BOW,MD,F,I,HANCOCK,499301569,MI,US,Orthopedic Surgery,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,67,60,67,105.19,0,109.79,1.47,80.38
1114905064,HANCOCK,FNP,F,I,SOCORRO,878014649,NM,US,Nurse Practitioner,Y,O,90656,"Vaccine for influenza injection into muscle, patient 3 years and older",Y,11,11,11,12.39,0.01,15.5,0,12.39
1477741254,BARLOW,PT,M,I,REDMOND,977561328,OR,US,Physical Therapist,Y,O,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",N,"1,194",60,428,27.78,3.78,64.66,3.01,21.68
1982659074,FAILLACE,MD,M,I,BRONX,104611138,NY,US,Cardiology,Y,F,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,11,11,11,105.14,0,217.55,27.02,79.05
1104880558,PINSON,MD,F,I,JACKSON,49202,MI,US,General Practice,Y,O,99212,"Established patient office or other outpatient visit, typically 10 minutes",N,50,44,50,40.73,0,55,0,24.19
1932310224,CASPER,MD,M,I,CINCINNATI,452192364,OH,US,Otolaryngology,Y,F,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,28,22,28,49.22,0,173,0,37.97
1497785919,ROSENFELD,D.P.M.,M,I,CLARKSTON,483462092,MI,US,Podiatry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,835,219,835,73.93,0,80,0,54.7
1154547040,NICHOLS,N.P.,F,I,BAKERSFIELD,933054144,CA,US,Nurse Practitioner,Y,F,99283,"Emergency department visit, moderately severe problem",N,17,17,17,51.64,0,266.18,23.75,40.7
1821066424,LIEBERMAN,MD,M,I,SANTA FE,875076503,NM,US,Emergency Medicine,Y,O,J3301,"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg",Y,50,12,12,1.69,0,7,0,1.36
1205928397,SAN GERMAN,MD,M,I,PEORIA,616152907,IL,US,Family Practice,Y,O,85610,"Blood test, clotting time",N,153,25,153,5.56,0,25,0,5.49
1033250048,DUCHARME,MD,F,I,HAVRE DE GRACE,210782143,MD,US,Endocrinology,Y,O,76942,Ultrasonic guidance imaging supervision and interpretation for insertion of needle,N,11,11,11,225.24,0,349.55,21.41,166.97
1235143504,DODGE,MD,F,I,BURLINGTON,18050001,MA,US,Diagnostic Radiology,Y,F,73560,"X-ray of knee, 1 or 2 views",N,32,29,29,10.16,0.15,178,0,7.37
1144335290,WALLACE,MD,M,I,IDAHO FALLS,83404,ID,US,Ophthalmology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,26,22,26,97.54,0,132.97,23.08,67.94
1538189204,NGUYEN,MD,M,I,LOS ANGELES,90095,CA,US,Nephrology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,263,178,263,73.55,0,180,0,58.82
1205986312,LAU,MD,M,I,TACOMA,984054499,WA,US,Cardiology,Y,O,93306,"Ultrasound examination of heart including color-depicted blood flow rate, direction, and valve function",N,140,138,140,214.84,0,571,0,158.34
1871744367,MIZRACHI,MD,M,I,PRINCETON,85401617,NJ,US,Physical Medicine and Rehabilitation,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,292,292,292,115.9,1.95,119.18,8.35,86.29
1598799041,CAVALIERE,MD,M,I,HAWTHORNE,105321541,NY,US,Orthopedic Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,37,32,37,118.69,0,210,0,89.82
1407990070,REESE,MD,M,I,SPOKANE VALLEY,992161087,WA,US,General Surgery,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,41,16,35,69.64,0,155,0,55.71
1851364772,TANNER,MD,M,I,YORKTOWN,23693,VA,US,Ophthalmology,Y,O,92004,"Eye and medical examination for diagnosis and treatment, new patient, 1 or more visits",N,100,100,100,141.75,0,237,0,96.3
1053410084,PATTERSON,MD,M,I,GALVESTON,775551022,TX,US,Neurosurgery,Y,F,99203,"New patient office or other outpatient visit, typically 30 minutes",N,40,40,40,75.16,0,220.48,29.51,56.24
1942282207,RAND,MD,M,I,AMHERST,142264000,NY,US,Diagnostic Radiology,Y,F,73030,"X-ray of shoulder, minimum of 2 views",N,70,63,63,9.26,0,37.89,2.94,7.3
1417933102,DE LA VEGA,MD,M,I,BROWNSVILLE,785204857,TX,US,Family Practice,Y,F,99223,"Initial hospital inpatient care, typically 70 minutes per day",N,70,60,70,188.73,0,383,0,149.48
1558426312,THOMPSON,MD,M,I,BURLINGTON,18050001,MA,US,Orthopedic Surgery,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,49,49,49,111.56,0,215.59,0.81,87.43
1285937102,PLUMMER,DPT,F,I,TRAVERSE CITY,496864773,MI,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,52,49,52,71.2,0.35,95,0,54.63
1669495461,LARSEN,DO,M,I,BISMARCK,585014508,ND,US,Orthopedic Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,166,138,166,68.62,0,150.54,0,44.34
1295801579,LOVELADY,MD,M,I,NORTHPORT,354763270,AL,US,Family Practice,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,184,182,184,14.05,0,19.2,0.98,14.05
1063456648,LACKEY,MD,M,I,POCATELLO,832014835,ID,US,Obstetrics/Gynecology,Y,O,80061,"Blood test, lipids (cholesterol and triglycerides)",N,24,23,24,14.05,0.66,59,0,14.05
1740289230,POPOV,MD,M,I,ALEXANDER CITY,350103393,AL,US,Internal Medicine,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,"1,311",403,"1,311",129.13,4.36,135,0,94.89
1003865353,STONE,MD,F,I,EAST NORRITON,194011389,PA,US,Rheumatology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,45,45,45,111.9,0,170,0,79.57
1750373833,CLOUSE,MD,M,I,ELKHART,465142483,IN,US,Emergency Medicine,Y,F,99283,"Emergency department visit, moderately severe problem",N,65,64,65,58.06,0,221,0,45.04
1326060963,WINN DIXIE STORES INC,O,O,O,PICAYUNE,394665382,MS,US,Mass Immunization Roster Biller,Y,O,G0008,Administration of influenza virus vaccine,N,117,116,117,20.18,1.61,21.35,2.75,20.18
1740266725,MCLAURIN,MD,M,I,ANDERSON,296211713,SC,US,Cardiology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,26,26,26,150.52,0,235,0,116.65
1750339529,DONAHUE,MD,M,I,JOHNSON CITY,376047906,TN,US,Diagnostic Radiology,Y,F,73510,X-ray of hip 2 or more views,N,66,66,66,10.43,0,40,0,8.21
1417973314,HALL,MD,F,I,BOWIE,20716,MD,US,Ophthalmology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,348,340,348,114.19,2.93,219.82,35.89,76.24
1164482188,HATRIDGE,O,M,I,AUSTIN,787052703,TX,US,Anesthesiology,Y,F,142,Anesthesia for lens surgery,N,29,29,29,123.26,13.05,551.59,65.91,98.61
1215057351,WEST,PT,M,I,LOUISVILLE,800271156,CO,US,Physical Therapist,Y,O,97110,"Therapeutic exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",N,267,38,235,29.73,1.32,30.86,1.64,23.51
1508825449,NGUYEN,DPM,M,I,TACOMA,984054099,WA,US,Podiatry,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,578,180,578,70.45,2.43,79.88,2.83,53.36
1588679294,TACCAD-REYES,MD,F,I,SCHENECTADY,123091135,NY,US,Endocrinology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,13,13,13,152.95,0,262,0,113.74
1144292566,BURCHFIELD,MD,M,I,TOLEDO,436152068,OH,US,Ophthalmology,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,142,140,142,101.34,0,110,0,72.27
1841228079,MORTON,MD,M,I,SAVANNAH,383721937,TN,US,Family Practice,Y,F,93010,Routine electrocardiogram (EKG) using at least 12 leads with interpretation and report,N,19,19,19,8.1,0,30,0,6.14
1083808828,PROKOP,PA-C,F,I,HERSHEY,170332360,PA,US,Physician Assistant,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,169,142,169,57.55,0,86,0,36.12
1104864008,MOGTADER,MD,M,I,BROWNS MILLS,80151705,NJ,US,Cardiology,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,191,109,191,73.38,0,261,0,58.7
1396960811,SEILER,MD,M,I,HASTINGS,689015122,NE,US,General Surgery,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,33,33,33,148.62,0,148.62,0,116.05
1447290721,BRUNO,MD,M,I,MUNCIE,473033409,IN,US,Urology,Y,O,99211,"Established patient office or other outpatient visit, typically 5 minutes",N,12,11,12,18.59,0,35,0,13.63
1578705828,SYDOW,PA-C,M,I,GRAFENWOEHR,APO AE  09112,ZZ,DE,Physician Assistant,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,77,75,77,82.52,0,174,0,62.24
1801883186,BEDONT,MD,M,I,DES MOINES,503142613,IA,US,Diagnostic Radiology,Y,O,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,57,57,57,32.9,0,78.5,0,32.9
1063483402,CRONE,MD,F,I,NEW ALBANY,471506400,IN,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,339,161,339,66.84,0,115,0,47.68
1811918568,MARSHALL,MD,M,I,BATON ROUGE,708084326,LA,US,Rheumatology,Y,O,99204,"New patient office or other outpatient visit, typically 45 minutes",N,37,37,37,150.03,0,267,0,108.14
1346326238,SAYAR,MD,M,I,GAINESVILLE,305013466,GA,US,Cardiac Electrophysiology,Y,F,99220,Hospital observation care typically 70 minutes,N,20,20,20,172.46,0,268,0,137.97
1508951161,ROCKY MOUNT DRUGS INC,O,O,O,ROCKY MOUNT,278016070,NC,US,Mass Immunization Roster Biller,Y,O,Q2037,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",Y,15,15,15,13.97,0.16,14.05,0,13.97
1346345683,JANOWICZ,MD,F,I,CANTON,44708,OH,US,Internal Medicine,Y,O,Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)",Y,53,52,53,12.1,0.24,18,0,12.1
1578897864,KOCHER,PT,M,I,SAN DIEGO,921233330,CA,US,Physical Therapist,Y,O,97001,Physical therapy evaluation,N,48,48,48,76.36,0,150,0,61.09
1558351320,ANDERSON,MD,M,I,CLEARWATER,337563846,FL,US,Diagnostic Radiology,Y,F,93970,Ultrasound scan of veins of arms or legs including assessment of compression and functional maneuvers,N,18,18,18,34.75,0,145,0,27.8
1457328981,UNDERWOOD,DO,M,I,YOUNGSTOWN,445051368,OH,US,Internal Medicine,Y,F,99232,"Subsequent hospital inpatient care, typically 25 minutes per day",N,"1,527",410,"1,527",68.99,0,104.91,0.74,55.13
1104918341,HEIL,D.O.,M,I,ANOKA,553035001,MN,US,Chiropractic,Y,O,98941,"Chiropractic manipulative treatment, 3 to 4 spinal regions",N,329,28,329,34.79,0,80.11,0.72,25.86
1992707418,RAJ,MD,M,I,PITTSBURGH,152124756,PA,US,Hematology/Oncology,Y,F,99204,"New patient office or other outpatient visit, typically 45 minutes",N,19,19,19,123.5,0,204,0,88.4
1043290281,WAN,MD,M,I,MANCHESTER,60405214,CT,US,Cardiology,Y,O,99215,"Established patient office or other outpatient, visit typically 40 minutes",N,32,29,32,149.7,0,190,0,107.62
1720190986,SANTANA-IZQUIERDO,MD,F,I,MIAMI,331332700,FL,US,Cardiology,Y,O,93000,Routine EKG using at least 12 leads including interpretation and report,N,121,95,121,20.77,0,106.65,14.62,16.21
1730246992,EARNEST,MD,M,I,KANSAS CITY,661032937,KS,US,Cardiology,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,52,52,52,99.1,1.27,148,0,72.59
1659527471,LUKASEK,MD,F,I,CHICAGO,606123714,IL,US,Emergency Medicine,Y,F,99284,"Emergency department visit, problem of high severity",N,138,134,138,115.11,0,448.22,5.06,88.43
1245209402,PATEL,MD,M,I,GRUNDY,246146975,VA,US,Internal Medicine,Y,F,99220,Hospital observation care typically 70 minutes,N,29,27,29,174.7,0,250,0,137.35
1114963113,SCHEER,DO,F,I,LAPEER,484461350,MI,US,Anesthesiology,Y,F,740,Anesthesia for procedure on gastrointestinal tract using an endoscope,N,68,64,68,77.58,11.24,752.3,112.95,59.98
1235175779,SETTLER,D.O.,M,I,BELLEVILLE,62226,IL,US,Diagnostic Radiology,Y,F,73630,"X-ray of foot, minimum of 3 views",N,50,44,44,8.36,0,54.98,3.48,6.33
1194983221,MORTON,NP,F,I,LEWISBURG,370912227,TN,US,Nurse Practitioner,Y,O,81002,"Urinalysis, manual test",N,34,29,34,3.62,0,20,0,3.62
1790701035,CROTTE,MD,M,I,GRAND RAPIDS,495259746,MI,US,Diagnostic Radiology,Y,O,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,315,315,315,131.21,0,338,0,131.21
1962592436,KUTAGULA,MD,M,I,ADDISON,750013623,TX,US,Geriatric Medicine,Y,F,99233,"Subsequent hospital inpatient care, typically 35 minutes per day",N,428,169,428,96.04,1.25,189.6,18.06,76.44
1295706307,HARRIS,MD,M,I,KILLEEN,765494110,TX,US,Diagnostic Radiology,Y,F,72100,"X-ray of lower and sacral spine, 2 or 3 views",N,28,26,28,11.11,0,58,0,8.26
1497869648,KNAPP,D.O,M,I,REDDING,96001,CA,US,Emergency Medicine,Y,O,99203,"New patient office or other outpatient visit, typically 30 minutes",N,21,21,21,107.51,0,138,0,86.01
1801992524,MAUCERI,MD,M,I,SMITHTOWN,11787,NY,US,Family Practice,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,99,25,99,60.75,3.68,62.86,15.45,46.65
1447295159,OKWARA,MD,F,I,MONROE,281125060,NC,US,Family Practice,Y,O,83036,Hemoglobin A1C level,N,63,51,63,13.75,0,65,0,13.55
1083788152,GANJHU,MD,M,I,WATERVLIET,12189,NY,US,Internal Medicine,Y,O,99214,"Established patient office or other outpatient, visit typically 25 minutes",N,272,45,272,99.63,0,143.82,7.38,69.89
1568414894,MATHEWS,MD,M,I,LEBANON,370872567,TN,US,General Surgery,Y,O,99213,"Established patient office or other outpatient visit, typically 15 minutes",N,17,16,17,65.75,0,135,0,52.6
1295799229,WIER,MD,M,I,EVANS,308093301,GA,US,Diagnostic Radiology,Y,O,G0202,"Screening mammography, producing direct digital image, bilateral, all views",N,"1,132","1,132","1,132",33.65,0,91,0,33.57
